"State","District","EstimatePopulation","EstimateHouseholds"
"47","2013","2800813","1045923"
"48","2013","1804989","694594"
"49","2013","1103656","433698"
"50","2013","2173453","860434"
"51","2013","255983","99975"
"1","2014","2184371","819854"
"2","2014","296428","100035"
"3","2014","1308280","475287"
"4","2014","1309693","506010"
"5","2014","6654395","2262916"
"6","2014","1497330","571893"
"7","2014","1013581","383070"
"8","2014","243545","90822"
"9","2014","95175","37148"
"10","2014","4578154","1689831"
"11","2014","3330543","1182095"
"12","2014","330039","103278"
"13","2014","646970","237288"
"14","2014","3638992","1363407"
"15","2014","2408100","892416"
"16","2014","1516321","600097"
"17","2014","1196358","461064"
"18","2014","1720214","656030"
"19","2014","1569228","575548"
"20","2014","843564","350746"
"21","2014","1543368","548380"
"22","2014","2140505","809595"
"23","2014","2938583","1126496"
"24","2014","1982537","779743"
"25","2014","1424460","517415"
"26","2014","2319342","890312"
"27","2014","478862","190234"
"28","2014","729967","287810"
"29","2014","509514","190158"
"30","2014","730703","289614"
"31","2014","2511463","912146"
"32","2014","649425","231129"
"33","2014","4667843","1756910"
"34","2014","3191333","1208953"
"35","2014","350473","142570"
"36","2014","3547881","1351116"
"37","2014","1503762","560593"
"38","2014","1230354","481989"
"39","2014","4337398","1675584"
"40","2014","277365","104917"
"41","2014","1595511","594253"
"42","2014","460881","177817"
"43","2014","2202541","839483"
"44","2014","7121296","2473690"
"45","2014","746150","232475"
"46","2014","412201","167308"
"47","2014","2819832","1049874"
"48","2014","1828295","699681"
"49","2014","1102004","435279"
"50","2014","2176771","861288"
"51","2014","258580","101422"
"1","2015","2188640","823282"
"2","2015","297232","99339"
"3","2015","1325928","480137"
"4","2015","1313984","506878"
"5","2015","6712962","2280040"
"6","2015","1524501","579232"
"7","2015","1013011","381367"
"8","2015","244904","92224"
"9","2015","97503","37890"
"10","2015","4645003","1711998"
"11","2015","3355428","1191968"
"12","2015","333546","103202"
"13","2015","652882","238545"
"14","2015","3637604","1362992"
"15","2015","2417974","895913"
"16","2015","1523806","603350"
"17","2015","1196680","460803"
"18","2015","1718513","656490"
"19","2015","1573402","577538"
"20","2015","843125","350849"
"21","2015","1549676","550357"
"22","2015","2156478","814374"
"23","2015","2944573","1131412"
"24","2015","1994228","781567"
"25","2015","1423773","517855"
"26","2015","2324284","888516"
"27","2015","478578","189761"
"28","2015","731716","289580"
"29","2015","515584","192667"
"30","2015","732706","290184"
"31","2015","2521121","912506"
"32","2015","649883","231092"
"33","2015","4675165","1756171"
"34","2015","3211804","1214948"
"35","2015","355604","144556"
"36","2015","3556132","1356756"
"37","2015","1513497","561693"
"38","2015","1239040","483261"
"39","2015","4345156","1675691"
"40","2015","278852","105746"
"41","2015","1610310","600031"
"42","2015","464593","179144"
"43","2015","2208569","843448"
"44","2015","7232044","2503852"
"45","2015","754106","234808"
"46","2015","412043","167374"
"47","2015","2835487","1053750"
"48","2015","1850926","705968"
"49","2015","1098367","433741"
"50","2015","2183295","863489"
"51","2015","260631","102246"
"1","2016","2194328","823564"
"2","2016","296869","99060"
"3","2016","1347501","489966"
"4","2016","1317948","509507"
"5","2016","6752528","2292603"
"6","2016","1551041","589160"
"7","2016","1013760","382719"
"8","2016","250318","94209"
"9","2016","99969","38507"
"10","2016","4730432","1736370"
"11","2016","3382128","1201836"
"12","2016","336031","103686"
"13","2016","659346","241140"
"14","2016","3635006","1369560"
"15","2016","2423868","899917"
